napetost
4.89
5.65
5.65
4.89
5.65
5.65

8.35
8.66
8.4
8.35
8.66
8.4

10.32
11.06
10.8
10.32
11.06
10.8

11.9
12.5
12.6
11.9
12.5
12.6

13.5
14
13.2
13.5
14
13.2

14.9
15.2
14.48
14.9
15.2
14.48

15.84
15.42
15.9
15.84
15.42
15.9

16.52
17.2
17.1
16.52
17.2
17.1
